epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.6883,0.86127,2.41959,0.00863,0.00532,1,0.695,0.44532,1.2767,5.87586,0.01613,0.00040605,0.00040605,0.00040605
43,29.5632,0.86611,2.39666,0.00862,0.00532,1,0.695,0.49482,1.28525,5.7209,0.01606,0.000409022,0.000409022,0.000409022
44,30.1631,1.06648,2.85455,0.00858,0.00532,1,0.695,0.49482,1.28525,5.7209,0.01606,0.000411664,0.000411664,0.000411664
45,30.8321,0.90918,2.33526,0.00537,0.00542,1,0.745,0.49657,1.39816,5.67084,0.01816,0.000413976,0.000413976,0.000413976
46,31.4339,1.07799,2.88927,0.00974,0.00542,1,0.745,0.49657,1.39816,5.67084,0.01816,0.000415958,0.000415958,0.000415958
47,32.1337,1.00387,2.86849,0.01309,0.00532,1,0.745,0.49799,1.52314,5.47077,0.02112,0.00041761,0.00041761,0.00041761
48,32.7776,0.7165,3.00428,0.01027,0.00532,1,0.745,0.49799,1.52314,5.47077,0.02112,0.000418932,0.000418932,0.000418932
49,33.6976,0.87711,2.2624,0.00615,0.00528,1,0.745,0.5215,1.44523,5.29428,0.02014,0.000419924,0.000419924,0.000419924
50,34.3092,0.92175,2.65434,0.00863,0.00528,1,0.745,0.5215,1.44523,5.29428,0.02014,0.000420586,0.000420586,0.000420586
51,35.0099,0.86091,2.10484,0.0069,0.00513,1,0.745,0.49792,1.33102,5.10468,0.01851,0.000420918,0.000420918,0.000420918
52,35.6144,0.84015,2.39557,0.00803,0.00513,1,0.745,0.49792,1.33102,5.10468,0.01851,0.000420919,0.000420919,0.000420919
53,36.2388,0.86252,1.99618,0.00853,0.00513,1,0.745,0.49792,1.33102,5.10468,0.01851,0.000420591,0.000420591,0.000420591
54,36.9199,1.1157,3.23043,0.01377,0.00503,1,0.995,0.71306,1.17294,4.85381,0.01592,0.000419932,0.000419932,0.000419932
55,37.7342,0.87624,2.48271,0.00756,0.00503,1,0.995,0.71306,1.17294,4.85381,0.01592,0.000418944,0.000418944,0.000418944
56,38.3806,0.74112,2.43258,0.00808,0.00503,1,0.995,0.71306,1.17294,4.85381,0.01592,0.000417625,0.000417625,0.000417625
57,39.0742,0.89678,2.27909,0.00876,0.00501,1,0.995,0.71306,1.04031,4.65023,0.01369,0.000415977,0.000415977,0.000415977
58,39.729,0.93063,2.09061,0.00751,0.00501,1,0.995,0.71306,1.04031,4.65023,0.01369,0.000413998,0.000413998,0.000413998
59,40.4051,0.82022,2.28116,0.00714,0.00501,1,0.995,0.71306,1.04031,4.65023,0.01369,0.000411689,0.000411689,0.000411689
60,41.0905,0.80633,3.24531,0.00816,0.00485,1,0.995,0.71306,1.01445,4.55232,0.01309,0.00040905,0.00040905,0.00040905
61,41.743,0.85868,2.13855,0.00802,0.00485,1,0.995,0.71306,1.01445,4.55232,0.01309,0.000406081,0.000406081,0.000406081
62,42.5753,0.81256,1.92481,0.00653,0.00485,1,0.995,0.71306,1.01445,4.55232,0.01309,0.000402782,0.000402782,0.000402782
63,43.272,0.94551,3.33748,0.00971,0.00582,1,0.995,0.71306,1.13327,4.52033,0.0146,0.000399153,0.000399153,0.000399153
64,43.9295,0.74,2.40618,0.00701,0.00582,1,0.995,0.71306,1.13327,4.52033,0.0146,0.000395194,0.000395194,0.000395194
65,44.5652,0.74885,2.25965,0.00958,0.00582,1,0.995,0.71306,1.13327,4.52033,0.0146,0.000390905,0.000390905,0.000390905
66,45.2669,0.89598,2.69779,0.00649,0.19754,1,0.995,0.67983,1.35162,4.53792,0.01782,0.000386286,0.000386286,0.000386286
67,45.9095,0.90144,2.45049,0.00777,0.19754,1,0.995,0.67983,1.35162,4.53792,0.01782,0.000381336,0.000381336,0.000381336
68,46.5185,0.79512,2.32275,0.0059,0.19754,1,0.995,0.67983,1.35162,4.53792,0.01782,0.000376057,0.000376057,0.000376057
69,47.4006,0.70223,1.98095,0.00572,0.30356,1,0.995,0.62779,1.50808,4.55219,0.02033,0.000370447,0.000370447,0.000370447
70,47.9796,0.6764,2.13887,0.0066,0.30356,1,0.995,0.62779,1.50808,4.55219,0.02033,0.000364508,0.000364508,0.000364508
71,48.5962,0.8016,2.05085,0.00723,0.30356,1,0.995,0.62779,1.50808,4.55219,0.02033,0.000358238,0.000358238,0.000358238
72,49.2614,0.79651,1.88922,0.0079,0.47217,1,0.995,0.62779,1.60251,4.5374,0.02181,0.000351639,0.000351639,0.000351639
73,49.9187,0.92135,2.45144,0.00885,0.47217,1,0.995,0.62779,1.60251,4.5374,0.02181,0.000344709,0.000344709,0.000344709
74,50.5202,0.74725,1.97633,0.00609,0.47217,1,0.995,0.62779,1.60251,4.5374,0.02181,0.000337449,0.000337449,0.000337449
75,51.1644,0.92051,2.4398,0.00844,0.70099,1,0.995,0.62779,1.58113,4.47938,0.02147,0.000329859,0.000329859,0.000329859
76,52.0394,0.72468,1.94499,0.00554,0.70099,1,0.995,0.62779,1.58113,4.47938,0.02147,0.000321939,0.000321939,0.000321939
77,52.6741,0.86272,2.0326,0.00691,0.70099,1,0.995,0.62779,1.58113,4.47938,0.02147,0.000313689,0.000313689,0.000313689
78,53.3739,0.94171,2.58565,0.00859,1,0.92553,0.995,0.62779,1.50006,4.41778,0.02018,0.000305109,0.000305109,0.000305109
79,54.0348,0.74294,2.00739,0.00545,1,0.92553,0.995,0.62779,1.50006,4.41778,0.02018,0.000296199,0.000296199,0.000296199
80,54.6323,1.02326,2.0035,0.00762,1,0.92553,0.995,0.62779,1.50006,4.41778,0.02018,0.000286959,0.000286959,0.000286959
81,55.2947,0.68979,2.23361,0.00734,1,0.87843,0.995,0.62779,1.50783,4.37535,0.02017,0.000277389,0.000277389,0.000277389
82,55.9371,0.76336,2.28546,0.00996,1,0.87843,0.995,0.62779,1.50783,4.37535,0.02017,0.000267488,0.000267488,0.000267488
83,56.7196,0.84485,2.46126,0.00855,1,0.87843,0.995,0.62779,1.50783,4.37535,0.02017,0.000257258,0.000257258,0.000257258
84,57.392,0.73479,2.35088,0.00604,0.66478,0.5,0.82833,0.52779,1.41744,4.31595,0.01875,0.000246698,0.000246698,0.000246698
85,58.0383,0.81865,2.07823,0.00489,0.66478,0.5,0.82833,0.52779,1.41744,4.31595,0.01875,0.000235807,0.000235807,0.000235807
86,58.7229,0.79541,2.08671,0.00583,0.66478,0.5,0.82833,0.52779,1.41744,4.31595,0.01875,0.000224587,0.000224587,0.000224587
87,59.344,0.9182,2.73749,0.00828,0.66478,0.5,0.82833,0.52779,1.41744,4.31595,0.01875,0.000213036,0.000213036,0.000213036
88,60.0506,0.70127,1.79879,0.0052,0.70345,0.5,0.82833,0.57983,1.32703,4.22964,0.01728,0.000201155,0.000201155,0.000201155
89,60.7196,0.76575,2.23572,0.00953,0.70345,0.5,0.82833,0.57983,1.32703,4.22964,0.01728,0.000188944,0.000188944,0.000188944
90,61.531,0.85909,2.86726,0.01076,0.70345,0.5,0.82833,0.57983,1.32703,4.22964,0.01728,0.000176404,0.000176404,0.000176404
91,63.0406,0.79198,2.2842,0.00768,0.70345,0.5,0.82833,0.57983,1.32703,4.22964,0.01728,0.000163533,0.000163533,0.000163533
92,63.8475,0.75499,2.42181,0.00789,0.69339,0.5,0.82833,0.59638,1.26913,4.1917,0.01625,0.000150332,0.000150332,0.000150332
93,64.545,0.67452,2.48081,0.00718,0.69339,0.5,0.82833,0.59638,1.26913,4.1917,0.01625,0.000136801,0.000136801,0.000136801
94,65.2124,0.64692,2.38977,0.00555,0.69339,0.5,0.82833,0.59638,1.26913,4.1917,0.01625,0.00012294,0.00012294,0.00012294
95,65.8452,0.7175,2.53421,0.00963,0.69339,0.5,0.82833,0.59638,1.26913,4.1917,0.01625,0.000108748,0.000108748,0.000108748
96,66.7885,0.63288,2.33946,0.00627,0.76979,0.5,0.82833,0.59638,1.22752,4.15908,0.01578,9.42272e-05,9.42272e-05,9.42272e-05
97,67.4156,0.63181,2.31762,0.00585,0.76979,0.5,0.82833,0.59638,1.22752,4.15908,0.01578,7.93759e-05,7.93759e-05,7.93759e-05
98,68.0431,0.65161,2.46384,0.00698,0.76979,0.5,0.82833,0.59638,1.22752,4.15908,0.01578,6.41945e-05,6.41945e-05,6.41945e-05
99,68.7013,0.66198,2.29531,0.00576,0.76979,0.5,0.82833,0.59638,1.22752,4.15908,0.01578,4.86831e-05,4.86831e-05,4.86831e-05
100,69.3964,0.60836,2.39844,0.00636,1,0.82457,0.995,0.7213,1.21587,4.14413,0.01562,3.28416e-05,3.28416e-05,3.28416e-05
